player_name,team,season,conference,coach,win_pcnt,avg_pts_game,number_of_games_in_season,num_games_started,avg_min_per_game,fg_percent,_2pt_pcnt,_3pt_pcnt,ft_pcnt,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_personal_fouls,avg_points_per_game
Cameron Johnson,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,26.0,20.0,29.3,0.426,0.52,0.341,0.847,4.7,2.3,0.7,0.2,1.7,12.4
Sterling Manley,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,37.0,0.0,10.0,0.566,0.566,0.0,0.692,3.6,0.3,0.1,0.6,1.2,5.4
Seventh Woods,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,20.0,0.0,7.0,0.3,0.346,0.0,0.8,0.7,1.0,0.3,0.1,1.1,1.1
Brandon Huffman,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,29.0,0.0,3.4,0.543,0.543,0.0,0.563,1.4,0.0,0.0,0.3,0.6,1.6
Walker Miller,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,20.0,0.0,1.5,0.286,0.286,0.0,1.0,0.4,0.2,0.0,0.1,0.2,0.3
Aaron Rohlman,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,21.0,1.0,1.5,1.0,1.0,0.0,0.0,0.4,0.1,0.0,0.0,0.1,0.3
Kane Ma,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,12.0,1.0,1.1,0.333,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2
Garrison Brooks,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,37.0,16.0,14.6,0.528,0.528,0.0,0.587,3.5,0.5,0.3,0.3,1.8,4.5
Jalek Felton,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,22.0,1.0,9.7,0.387,0.481,0.314,0.667,0.9,1.6,0.4,0.1,0.5,2.9
Brandon Robinson,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,35.0,0.0,8.6,0.375,0.364,0.391,0.714,1.4,0.6,0.2,0.1,1.3,1.7
Andrew Platek,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,35.0,0.0,7.5,0.491,0.607,0.37,0.7,1.1,0.5,0.1,0.1,0.6,2.0
Luke Maye,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,37.0,37.0,32.2,0.486,0.503,0.431,0.624,10.1,2.4,1.0,1.0,2.5,16.9
Kenny Williams,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,37.0,36.0,31.1,0.486,0.592,0.402,0.704,3.7,2.4,1.0,0.5,1.9,11.4
Shea Rush,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,20.0,0.0,1.5,0.25,0.222,0.333,0.0,0.3,0.1,0.2,0.2,0.3,0.4
Joel Berry,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,36.0,36.0,33.1,0.396,0.451,0.344,0.893,3.5,3.2,1.2,0.3,1.6,17.1
Theo Pinson,UNC Tar Heels,2017,ACC,Roy Williams,0.703,81.6,37.0,37.0,29.7,0.473,0.532,0.226,0.818,6.5,5.1,1.1,0.5,2.3,10.3
Seventh Woods,UNC Tar Heels,2016,ACC,Roy Williams,0.825,84.4,40.0,0.0,7.7,0.283,0.306,0.182,0.61,1.4,1.2,0.5,0.1,0.7,1.5
Stilman White,UNC Tar Heels,2016,ACC,Roy Williams,0.825,84.4,27.0,1.0,3.6,0.5,0.5,0.5,0.889,0.4,0.2,0.1,0.0,0.3,1.4
Shea Rush,UNC Tar Heels,2016,ACC,Roy Williams,0.825,84.4,20.0,0.0,1.7,0.286,0.273,0.333,0.5,0.2,0.0,0.1,0.1,0.2,0.7
Nate Britt,UNC Tar Heels,2016,ACC,Roy Williams,0.825,84.4,40.0,7.0,19.0,0.354,0.369,0.333,0.73,1.8,2.4,1.0,0.1,1.8,4.5
Joel Berry,UNC Tar Heels,2016,ACC,Roy Williams,0.825,84.4,38.0,37.0,30.4,0.426,0.477,0.383,0.774,3.1,3.6,1.4,0.1,2.2,14.7
Kenny Williams,UNC Tar Heels,2016,ACC,Roy Williams,0.825,84.4,26.0,22.0,23.7,0.417,0.525,0.338,0.633,3.3,2.2,0.9,0.3,1.5,6.2
Luke Maye,UNC Tar Heels,2016,ACC,Roy Williams,0.825,84.4,35.0,1.0,14.1,0.479,0.504,0.4,0.579,3.9,1.2,0.4,0.2,1.8,5.5
Kennedy Meeks,UNC Tar Heels,2016,ACC,Roy Williams,0.825,84.4,40.0,40.0,24.3,0.555,0.555,0.0,0.622,9.5,1.0,1.0,1.2,2.4,12.5
Kanler Coker,UNC Tar Heels,2016,ACC,Roy Williams,0.825,84.4,21.0,1.0,1.4,0.5,0.5,0.0,1.0,0.2,0.0,0.0,0.0,0.3,0.4
Tony Bradley,UNC Tar Heels,2016,ACC,Roy Williams,0.825,84.4,38.0,0.0,14.6,0.573,0.573,0.0,0.619,5.1,0.6,0.3,0.6,1.8,7.1
Isaiah Hicks,UNC Tar Heels,2016,ACC,Roy Williams,0.825,84.4,39.0,39.0,23.3,0.576,0.576,0.0,0.779,5.5,1.4,0.4,0.7,3.1,11.8
Aaron Rohlman,UNC Tar Heels,2016,ACC,Roy Williams,0.825,84.4,20.0,0.0,1.7,0.0,0.0,0.0,0.0,0.7,0.1,0.1,0.0,0.1,0.0
Brandon Robinson,UNC Tar Heels,2016,ACC,Roy Williams,0.825,84.4,36.0,0.0,7.8,0.344,0.441,0.233,0.655,1.2,0.8,0.3,0.1,0.9,1.9
Theo Pinson,UNC Tar Heels,2016,ACC,Roy Williams,0.825,84.4,21.0,13.0,23.8,0.381,0.453,0.237,0.702,4.6,3.7,0.9,0.2,1.8,6.1
Justin Jackson,UNC Tar Heels,2016,ACC,Roy Williams,0.825,84.4,40.0,39.0,32.0,0.443,0.51,0.37,0.748,4.7,2.8,0.8,0.2,1.4,18.3
Brice Johnson,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,40.0,39.0,28.0,0.617,0.617,0.0,0.794,10.4,1.5,1.1,1.5,2.7,18.2
Joel James,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,37.0,10.0,7.8,0.453,0.453,0.0,0.522,2.3,0.0,0.0,0.2,1.2,2.2
Theo Pinson,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,40.0,7.0,18.7,0.42,0.511,0.29,0.636,3.2,2.9,0.6,0.3,1.7,4.8
Marcus Paige,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,34.0,34.0,31.6,0.397,0.46,0.355,0.796,2.5,3.7,1.1,0.4,1.5,13.4
Nate Britt,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,39.0,0.0,15.4,0.393,0.451,0.313,0.8,1.5,1.8,0.6,0.0,1.2,5.6
Luke Maye,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,33.0,0.0,5.4,0.39,0.412,0.286,0.429,1.7,0.2,0.1,0.1,0.8,1.2
Justin Jackson,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,40.0,38.0,28.4,0.472,0.543,0.298,0.667,3.9,2.8,0.6,0.4,1.7,12.7
Joel Berry,UNC Tar Heels,2015,ACC,Roy Williams,0.825,82.8,40.0,39.0,30.7,0.448,0.507,0.376,0.872,3.3,3.8,1.5,0.2,2.2,13.4
