id,team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
1,memphis,1981,Metro,0.828,75.3,A. Maceo Battle,11,0,6.7,0.429,0,0,0.571,2,0.4,0.1,0.8,1.4,1.5,Dana Kirk 
2,oregon-state,1981,Pac-10,0.833,69.6,A.C. Green,30,0,29.8,0.615,0,0,0.61,5.3,1.1,0.9,0.2,2.4,8.6,Ralph Miller 
3,alcorn-state,1981,SWAC,0.733,80.3,Aaron Brandon,28,26,18.5,0.467,0,0,0.769,2.3,1,0.4,0.3,1.2,6.4,Davey Whitney 
4,east-tennessee-state,1981,Southern,0.464,80.6,Aaron Douglas,28,0,0,0.494,0,0,0.763,2.8,0,0,0,0,13.6,Jim Hallahan 
5,washington-state,1981,Pac-10,0.533,58.6,Aaron Haskins,30,0,25.8,0.507,0,0,0.66,5.7,0.6,0.4,0.2,1.6,6.2,George Raveling 
6,dartmouth,1981,Ivy,0.269,55.3,Aaron Hill,13,0,0,0.545,0,0,0.313,2.2,0,0.4,0,0,2.2,Tim Cohane 
7,villanova,1981,Big East,0.75,73.7,Aaron Howard,32,0,0,0.512,0,0,0.741,3.3,1.6,0,0,0,7.9,Rollie Massimino 
8,california-santa-barbara,1981,PCAA,0.385,67.6,Aaron McCarthy,24,0,13.5,0.389,0,0,0.692,0.5,1.9,0.4,0,1.3,2.1,Ed DeLacy 
9,memphis,1981,Metro,0.828,75.3,Aaron Price,10,0,3.9,0.125,0,0,0.667,1.2,0.1,0.2,0.3,0.6,0.8,Dana Kirk 
10,georgia-southern,1981,A-Sun,0.519,62.3,Aaron Rucker,26,0,0,0.495,0,0,0.444,1.7,0,0,0,0,4.2,Frank Kerns 
11,west-virginia,1981,EAA,0.871,74.2,Adam Powell,14,0,3.4,0.417,0,0,0.429,0.7,0.3,0,0.1,0.4,1.1,Gale Catlett 
12,maryland,1981,ACC,0.552,61.3,Adrian Branch,29,29,33.7,0.474,0,0,0.765,4.3,1.4,0.5,0.4,3,15.2,Lefty Driesell 
13,austin-peay,1981,OVC,0.231,59.2,Al Bellenfant,16,0,0,0.4,0,0,0.615,1.4,0.8,0.1,0,0.8,2.3,Ron Bargatze 
14,citadel,1981,Southern,0.5,67.9,Al Ford,4,0,0,0.5,0,0,0.333,0.3,0,0,0,0,0.8,Les Robinson 
15,east-carolina,1981,ECACS,0.37,64,Al Mack,27,11,18.6,0.452,0,0,0.698,3.1,0.6,0.3,0.6,1.4,5.6,Dave Odom 
16,california-santa-barbara,1981,PCAA,0.385,67.6,Al Marquetti,1,0,1,0,0,0,0,0,0,0,0,0,0,Ed DeLacy 
17,vanderbilt,1981,SEC,0.536,67,Al McKinney,27,0,32,0.388,0,0,0.659,2.1,3.2,1.1,0.1,2.4,5.6,C.M. Newton 
18,vanderbilt,1981,SEC,0.536,67,Al Miller,27,0,20,0.385,0,0,0.638,3.5,1.4,0.4,0,2,6.5,C.M. Newton 
19,bowling-green-state,1981,MAC,0.621,74.2,Al Thomas,17,1,0,0.357,0,0,0.8,0.4,1.2,0.2,0.1,0.5,1.1,John Weinert 
20,virginia-tech,1981,Metro,0.645,78.6,Al Young,30,9,14.9,0.524,0,0,0.553,1.7,2.6,0.6,0.1,1.5,3.6,Charles Moir 
21,grambling,1981,SWAC,0.414,69.4,Alan Blackman,14,0,13.1,0.263,0,0,0.455,0.3,0.1,0.1,0,0.4,1.4,Fred Hobdy 
22,louisiana-tech,1981,Southland,0.407,61.9,Alan Davis,27,0,0,0.452,0,0,0.721,1.9,0,0,0,0,4.6,Andy Russo 
23,new-mexico,1981,WAC,0.5,70.6,Alan Dolensky,28,6,21.4,0.481,0,0,0.779,3.6,1.4,1.3,0,1.8,6.6,Gary Colson 
24,texas-pan-american,1981,Ind,0.2,71.2,Alan Martin,21,0,12.8,0.406,0,0,0.857,2.3,0.7,0.3,0,1.3,2.8,Bill White 
25,north-carolina-wilmington,1981,Ind,0.481,61.9,Alan Salzano,27,0,0,0.293,0,0,0.778,0.7,1,0.4,0,1,2.9,Mel Gibson 
26,oregon-state,1981,Pac-10,0.833,69.6,Alan Tait,12,0,4.3,0.25,0,0,0.286,0.5,0.1,0.1,0,0.3,0.5,Ralph Miller 
27,delaware-state,1981,MEAC,0.5,70.2,Albert Anderson,25,0,0,0.434,0,0,0.644,4,0,0,0,0,7.2,Ajac Triplett 
28,detroit-mercy,1981,MW City,0.37,68.4,Albert Blakey,27,0,17.3,0.478,0,0,0.765,1.1,0.6,0.3,0.1,0.9,5.3,Willie McCarter 
29,la-salle,1981,ECC,0.552,71.5,Albert Butts,27,0,0,0.42,0,0,0.616,8.8,0.4,0.8,0.7,0,9,Lefty Ervin 
30,texas-arlington,1981,Southland,0.571,80.7,Albert Culton,28,28,33.9,0.643,0,0,0.669,9.6,1.1,1.5,0.6,2.6,18,Bob Snake LeGrand 
