20365,murray-state,1987,OVC,0.71,76.3,A.J. Mensey,6,0,4,0.385,0.286,0.5,0,0.3,0,0.2,0,0.3,2.2,Steve Newton 
20366,air-force,1987,WAC,0.393,67.1,Aaron Benson,18,0,0,0.714,0.714,0,0.4,0.4,0.2,0.1,0,0,0.7,Reggie Minton 
20367,manhattan,1987,MAAC,0.233,75.1,Aaron Dare,27,3,10.8,0.231,0.231,0,0.667,1.7,0.5,0.2,0,0.7,0.5,Delle Bovi 
20368,wichita-state,1987,MVC,0.667,75.4,Aaron Davis,14,0,4.6,0.533,0.533,0,0.667,1.3,0.1,0.1,0.2,0.4,2.7,Eddie Fogler 
20369,idaho-state,1987,Big Sky,0.536,70.6,Aaron Grizzell,28,0,0,0.424,0.406,0.444,0.444,1.1,1.6,0.3,0,0,2.4,Jim Boutin 
20370,holy-cross,1987,MAAC,0.483,87.9,Aaron Jordan,7,0,0,0.083,0.1,0,0.824,0.9,1.3,0.3,0,1.4,2.3,George Blaney 
20371,louisiana-lafayette,1987,ASC,0.429,73.6,Aaron Mitchell,28,10,26.1,0.364,0.385,0.341,0.688,3.5,2.6,1,0.2,2.1,6.7,Marty Fletcher 
20372,syracuse,1987,Big East,0.743,84.7,Aaron Tweedy,4,0,2.5,0,0,0,0,0.8,0.3,0,0,1,0,Jim Boeheim 
20373,missouri-state,1987,Mid-Cont,0.759,71.9,Aaron Womack,3,0,0,1,1,0,0,0,0,0,0,0,0.7,Charles Spoonhour 
20374,duquesne,1987,A-10,0.344,76.6,Adam Sarson,19,0,5.6,0.273,0.29,0,0.455,1.3,0.2,0.1,0.1,0.3,1.2,Jim Satalin 
20375,portland,1987,WCAC,0.214,70.7,Adam Simmons,28,28,32.1,0.624,0.624,0,0.571,7.7,2,0.8,0.8,2.4,14.2,Larry Steele 
20376,brooklyn,1987,Ind,0.393,70.9,Adam Weinstein,15,15,25.2,0.537,0.529,0.75,0.636,5.4,0.5,0.5,0.1,1.7,10.9,Mark Reiner 
20377,portland,1987,WCAC,0.214,70.7,Adolphis Gaffney,25,11,25,0.379,0.4,0.327,0.793,1.7,3.9,0.8,0,2.2,8.4,Larry Steele 
20378,towson,1987,ECC,0.467,72.6,Adrian Basey,18,0,0,0.657,0.657,0,0.8,1.9,0.4,0.4,0.4,0,5.6,Terry Truax 
20379,green-bay,1987,Mid-Cont,0.667,64.5,Adrian Bolding,27,17,20.8,0.464,0.464,0,0.778,3.2,0.7,0.4,0.3,1.1,4.9,Dick Bennett 
20380,iowa-state,1987,Big 8,0.625,90.2,Adrian Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,Johnny Orr 
20381,hartford,1987,ECACN,0.484,71.8,Al Jones,31,0,0,0.394,0.407,0.357,0.585,1.3,1.5,0.8,0,0,4.1,Jack Phelan 
20382,saint-marys-ca,1987,WCAC,0.679,65.6,Al Lewis,28,27,33.5,0.445,0.461,0.418,0.633,3.3,2.8,1.3,0.1,2.4,12.6,Lynn Nance 
