team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
pacific,1991,"Big West",0.467,71.8,"A.J. Sulka",12,0,1.8,0.222,0.25,0.2,0.5,0.3,0,0,0,0.1,0.6,"Bob Thomason "
northwestern,1991,"Big Ten",0.321,68.1,"Aaric Queen",16,0,1.8,0.5,0.667,0,0,0.1,0,0.1,0,0,0.3,"Bill E. Foster "
colorado-state,1991,WAC,0.452,66.7,"Aaron Atkinson",31,31,29.8,0.489,0.513,0.313,0.686,5.5,0.9,0.5,0.4,2,13.5,"Stew Morrill "
vanderbilt,1991,SEC,0.5,74.8,"Aaron Beth",30,0,0,0.474,0.476,0.473,0.85,1.9,1.8,0.6,0,0,4.4,"Eddie Fogler "
kansas-state,1991,"Big 8",0.533,71.6,"Aaron Collier",24,9,15.5,0.448,0.448,0,0.538,4.3,0.5,0.2,0.1,0.8,4.5,"Dana Altman "
temple,1991,A-10,0.567,70.5,"Aaron McKie",28,28,36.1,0.433,0.521,0.321,0.754,6,3.4,2.2,0.2,1.6,13.9,"John Chaney "
cal-state-fullerton,1991,"Big West",0.429,75.8,"Aaron Sunderland",28,27,35.7,0.431,0.46,0.268,0.753,3.1,6.5,1.5,0.1,4,11.1,"John Sneed "
auburn,1991,SEC,0.444,86.6,"Aaron Swinson",27,26,28.7,0.588,0.59,0,0.567,7.5,1,1.1,0.5,0,14.3,"Tommy Joe Eagles "
xavier,1991,"MW Coll",0.556,78.3,"Aaron Williams",27,0,29.1,0.585,0.585,0,0.699,8,1.1,0.6,2.1,2.5,13.9,"Pete Gillen "
rhode-island,1991,A-10,0.688,78.1,"Abdul Fox",32,3,18.3,0.418,0.469,0.326,0.651,2.2,1.3,0.7,0.3,1.2,9.2,"Al Skinner "
citadel,1991,Southern,0.357,69.8,"Abe Hodges",26,0,7.4,0.344,0.321,0.5,0.75,0.8,1.2,0.4,0,1.7,1.3,"Randy Nesbit "
south-carolina-state,1991,MEAC,0.483,71.1,"Abraham Williams",24,0,0,0.321,0.329,0.273,0.5,1.6,0.5,0.4,0,0,2.8,"Cy Alexander "
iowa,1991,"Big Ten",0.633,81.1,"Acie Earl",30,30,31.3,0.533,0.533,0,0.667,7.8,0.9,1,4,2.8,19.5,"Tom Davis "
mercer,1991,A-Sun,0.379,73.4,"Adam Bowling",14,1,9.2,0.318,0.318,0,0.556,2.1,0.1,0,0.1,0.8,2.7,"Bill Hodges "
miami-fl,1991,"Big East",0.25,60.7,"Adam Dusewicz",1,0,2,0,0,0,0,0,1,1,0,0,0,"Leonard Hamilton "
north-carolina-state,1991,ACC,0.4,77.2,"Adam Fletcher",16,0,4,0.222,0.4,0,0.75,0.4,0.5,0.3,0,0.8,0.4,"Les Robinson "
stanford,1991,Pac-10,0.621,75.7,"Adam Keefe",29,29,37.2,0.564,0.566,0.455,0.746,12.2,3,1.7,0.5,3.3,25.3,"Mike Montgomery "
rice,1991,SWC,0.645,76.5,"Adam Peakes",31,19,23.2,0.423,0.458,0.385,0.742,4,2.3,0.8,0.2,1.6,6.1,"Scott Thompson "
marquette,1991,GMWC,0.552,69.2,"Adam Schabes",1,0,1,0,0,0,0,0,1,0,0,0,0,"Kevin ONeill "
george-washington,1991,A-10,0.571,73.3,"Adama Kah",17,1,5.7,0.455,0.455,0,0.8,0.8,0,0.2,0.2,0.4,0.8,"Mike Jarvis "
georgia-southern,1991,A-Sun,0.806,91.5,"Adonis Hill",24,0,6.1,0.13,0.077,0.2,0.5,0.5,0.8,0.1,0,0.5,0.9,"Frank Kerns "
kansas,1991,"Big 8",0.844,84.5,"Adonis Jordan",32,31,31.4,0.464,0.509,0.408,0.735,3.3,4.4,1.3,0.1,2.1,12.8,"Roy Williams "
college-of-charleston,1991,Ind,0.704,72.1,"Adonus Cofer",27,0,0,0.521,0.537,0.367,0.635,6.7,1.8,1,0.3,0,15.6,"John Kresse "
syracuse,1991,"Big East",0.688,74.5,"Adrian Autry",31,28,32.7,0.367,0.384,0.333,0.703,4.1,4,1.5,0.2,3.3,11,"Jim Boeheim "
eastern-kentucky,1991,OVC,0.576,75.1,"Adrian Brown",19,0,5.4,0.281,0.36,0,0.818,0.6,0.6,0.2,0.1,0.8,1.4,"Mike Pollio "
drake,1991,MVC,0.222,59.3,"Adrian Thomas",12,0,0,0.44,0.44,0,0.743,4.7,1.5,0.4,0.4,0,9.5,"Rudy Washington "
texas-san-antonio,1991,Southland,0.724,80.5,"Afis Olajuwon",22,0,15.5,0.403,0.433,0.273,0.742,2.8,0.8,0.5,0.3,1,5.7,"Stu Starner "
cal-state-fullerton,1991,"Big West",0.429,75.8,"Agee Ward",27,26,31,0.562,0.562,0,0.608,7.4,0.5,0.6,0.1,2,18,"John Sneed "
pittsburgh,1991,"Big East",0.529,76.2,"Ahmad Shareef",34,23,18.2,0.41,0.438,0.31,0.588,1.2,1,0.6,0.2,1.2,6.1,"Paul Evans "
california,1991,Pac-10,0.357,75.7,"Akili Jones",17,0,4.1,0.357,0.417,0.313,0.7,0.4,0.5,0.2,0,0.5,1.9,"Lou Campanelli "
rider,1991,ECC,0.552,70.8,"Al Flowers",12,0,5.8,0.364,0.364,0,0.333,1,0.2,0.2,0,0.7,0.9,"Kevin Bannon "
old-dominion,1991,CAA,0.5,74.7,"Al Grant",30,0,0,0.468,0.529,0.366,0.711,5.1,1.1,1.4,0.1,0,9.8,"Oliver Purnell "
weber-state,1991,"Big Sky",0.552,80.4,"Al Hamilton",29,29,31.5,0.507,0.515,0.37,0.786,5.7,1.2,0.7,0.7,2.8,20.3,"Ron Abegglen "
