team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
tennessee-state,2017,OVC,0.5,66.6,"A.C. Reid",10,1,10.2,0.143,0,0.143,0,0.7,0.4,0.2,0.1,0.3,1.2,"Dana Ford "
hampton,2017,MEAC,0.529,79.5,"A.J. Astroth",6,1,11.5,0.412,0.467,0,0.833,3.5,0.5,0.3,0.5,0.5,3.2,"Edward Joyner "
chattanooga,2017,Southern,0.303,69.4,"A.J. Bowers",14,0,5.3,0.75,1,0,1,1,0.1,0.1,0.1,0.3,0.6,"Lamont Paris "
central-florida,2017,AAC,0.594,62.7,"A.J. Davis",31,31,33,0.436,0.489,0.33,0.689,7.6,2.2,0.9,0.4,2.1,12.2,"Johnny Dawkins "
ohio,2017,MAC,0.452,75.3,"A.J. Gareri",10,0,6.1,0.222,0.25,0.2,0.667,0.7,0.1,0,0,0.4,0.9,"Saul Phillips "
new-mexico-state,2017,WAC,0.824,75.6,"A.J. Harris",33,33,27.7,0.403,0.486,0.291,0.552,1.9,2.9,0.9,0.3,1.6,9.4,"Chris Jans "
morehead-state,2017,OVC,0.276,70.4,"A.J. Hicks",29,22,30.5,0.424,0.483,0.313,0.639,3,4.2,1.8,0.3,2.9,11,"Preston Spradlin "
north-dakota-state,2017,Summit,0.469,74.4,"A.J. Jacobson",32,32,25.8,0.48,0.532,0.447,0.9,4.1,1.6,0.4,0.3,0.8,9.5,"David Richman "
california-davis,2017,"Big West",0.667,72.4,"A.J. John",33,13,21.1,0.477,0.613,0.385,0.778,4,0.4,0.3,0.5,0.8,7.9,"Jim Les "
rice,2017,CUSA,0.226,68.2,"A.J. Lapray",10,2,21.1,0.413,0.368,0.429,1,3.3,0.8,1,0,1.5,9.1,"Scott Pera "
north-texas,2017,CUSA,0.526,74.4,"A.J. Lawson",37,30,25.3,0.412,0.453,0.208,0.555,4.9,2.1,0.8,0.3,2,9,"Grant McCasland "
colorado,2017,Pac-12,0.531,72.1,"A.J. Martinka",1,0,1,0,0,0,0,0,0,0,0,1,0,"Tad Boyle "
alcorn-state,2017,SWAC,0.344,70.1,"A.J. Mosby",32,31,32.2,0.503,0.574,0.4,0.866,4.7,3.9,1.4,0.1,2,15.2,"Montez Robinson "
